date,agency,recipient,value,savings,link,description
3/23/2025,Department of Health and Human Services,VA Dept of Behavioral Health and Developmental Services,1245502,897189,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,AMERICAN TYPE CULTURE COLLECTION,3862721,893101,,"ATCC'S HIGH CONTAINMENT FACILITY RENOVATIONS IN SUPPORT OF NIAID AND PANDEMIC PREPAREDNESS - PROJECT SUMMARY: THE PROPOSED PROJECT AIMS TO RENOVATE ATCC'S HIGH CONTAINMENT FACILITY (HCF) AT THE AMERICAN TYPE CULTURE COLLECTION (ATCC) IN MANASSAS, VIRGINIA. ATCC'S 7,500 FT2 BIOCONTAINMENT FACILITY WAS BUILT IN 2007 WITH FUNDING FROM NIAID AND HAS BEEN DEDICATED TO DEVELOPING INFECTIOUS DISEASE STRAINS AND REAGENTS NEEDED TO RAPIDLY ADVANCE DIAGNOSTICS, VACCINES, AND THERAPEUTICS AGAINST PRIORITY PATHOGENS. SINCE 2003, ATCC HAS PARTNERED WITH NIAID TO CENTRALIZE AND PROVIDE CRITICAL SCIENTIFIC RESOURCES THROUGH THE BIODEFENSE AND EMERGING INFECTIONS RESOURCES (BEI RESOURCES) PROGRAM. THE NIAID ESTABLISHED BEI RESOURCES TO PROVIDE THE GLOBAL RESEARCH COMMUNITY WITH REAGENTS, TOOLS, AND INFORMATION FOR STUDYING CATEGORY A, B, AND C PRIORITY PATHOGENS, EMERGING INFECTIOUS DISEASE AGENTS, AND OTHER MICROBIOLOGICAL MATERIALS RELEVANT TO HUMAN HEALTH. OVER THE PAST 18 YEARS, ATCC HAS PROVIDED OVER 1,360,000 REAGENTS TO OVER 14,000 INVESTIGATORS AT 3,740 INSTITUTIONS IN 119 COUNTRIES SPANNING OVER 500 HUMAN PATHOGENS IN NIAID'S PRIORITY PORTFOLIO. DURING THIS PERIOD, BEI RESOURCES HAS PROVIDED CRITICAL MATERIALS FOR VITAL DISEASE OUTBREAKS, INCLUDING H1N1, MERS, EBOLA, AND ZIKA. OVER THE PAST TWO YEARS, ATCC HAS RAPIDLY CREATED MORE THAN 690 SARS-COV-2 PRODUCTS; ACQUIRED, PRODUCED, AND AUTHENTICATED MORE THAN 165 STOCKS OF SARS-COV-2 FOR BOTH GENERAL RESEARCH AND CHALLENGE STUDIES; AND SHIPPED MORE THAN 86,000 RESEARCH REAGENTS TO OVER 2,800 RESEARCHERS IN MORE THAN 70 COUNTRIES FOR THE DEVELOPMENT OF COUNTERMEASURES AND BASIC RESEARCH. THE MATERIAL PROVIDED BY BEI RESOURCES HAS BEEN CITED IN MORE THAN 1,800 SARS-COV-2 PUBLICATIONS SINCE FEBRUARY OF 2020. IN ADDITION, ATCC HAS FOSTERED COLLABORATION AND PARTNERSHIPS ACROSS NIAID PROGRAMS AND EXTERNAL WORKING GROUPS TO SHARE RESOURCES, INFORMATION, AND DATA TO ACCELERATE DISCOVERIES AND HARMONIZE SCIENTIFIC APPROACHES FOR PANDEMIC RESPONSE AND PREPAREDNESS. ATCC'S HIGH CONTAINMENT FACILITY HOUSES LABORATORIES ESSENTIAL FOR BSL-3 AND SELECT AGENT INFECTIOUS DISEASE RESEARCH, PRODUCT DEVELOPMENT, AND LARGE-SCALE REAGENT PRODUCTION FOR THE RESEARCH COMMUNITY. THIS PROPOSAL AIMS TO RENOVATE AND UPGRADE THE HVAC, DECONTAMINATION, AND SECURITY SYSTEMS. THE RENOVATIONS ALSO INCLUDE UPGRADES TO FIXED EQUIPMENT AND INTERIOR FINISHING IN THE FACILITY. THE RENOVATIONS WILL MODERNIZE THE FACILITY FOR USE BY 40 PH.D. ATCC SCIENTISTS, COLLABORATORS, AND LABORATORY SUPPORT STAFF. THE PRODUCTS AND SERVICES DEVELOPED IN THE FACILITY WILL SUPPORT THOUSANDS OF SCIENTISTS GLOBALLY EACH YEAR TO PREPARE AND RESPOND TO PANDEMICS. ATCC IS SEEKING THIS OPPORTUNITY FOR ENGAGEMENT WITH THE NIAID TO INVEST IN THIS FACILITY WHICH HAS BEEN FOUNDATIONAL FOR THE NATION'S PANDEMIC RESPONSE AND PREPAREDNESS."
3/23/2025,Department of Health and Human Services,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,1945041,889930,,"Guam IP19-1901 Immunization and Vaccines for Children Program, IIS Supplemental"
3/23/2025,Department of Health and Human Services,ARKANSAS DEPARTMENT OF HEALTH,1063636,889896,,"CDC-RFA-IP19-1901 Immunization and Vaccines for Children, Supplemental Funds HHS Bridge Access Program"
4/7/2025,Department of Health and Human Services,UNIVERSITY OF MARYLAND BALTIMORE,1467395,888690.4,,ComPASS Health Equity Research Hub at UMB
3/23/2025,Department of Health and Human Services,MS ST DEPARTMENT OF HEALTH,6627773,888492,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,INDIANA STATE DEPARTMENT OF HEALTH,1694239,878989,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,#REF!,5424809,878268,,#REF!
3/20/2025,Department of Health and Human Services,EMORY UNIVERSITY,2403396,876488.27,https://usaspending.gov/award/ASST_NON_R01MH128130_7529,STI Response and Recommendations Under PrEP (STIRRUP)
3/24/2025,Department of Health and Human Services,AZ ST DEPARTMENT OF HEALTH SERVICES,7775230,873819.21,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,MOBILE COUNTY HEALTH DEPARTMENT,3250000,873584,,Mobile County Community Health Workers Coalition
3/24/2025,Department of Health and Human Services,PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,16968118,873265.89,,Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,GEORGE WASHINGTON UNIVERSITY,1710169,870801.41,https://usaspending.gov/award/ASST_NON_UG3MH133258_7529,Identifying socioecological profiles that impact changes in care outcomes among Black Sexual minority men living with HIV
3/23/2025,Department of Health and Human Services,IA ST DEPARTMENT OF PUBLIC HEALTH,869623,869623,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",1747903,868617,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,JOHNS HOPKINS UNIVERSITY,13641821,868175,,HOPE IN ACTION: A CLINICAL TRIAL OF HIV-TO-HIV LIVER TRANSPLANTATION
3/24/2025,Department of Health and Human Services,CHICAGO DEPARTMENT OF PUBLIC HEALTH,25409590,866413.42,,Immunization and Vaccines for Children
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2738304,866018,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,"TULANE UNIVERSITY, DELTA REGIONAL PRIMATE CENTER",2396052,865506,,"Project Summary – Overall The Tulane National Primate Research Center (TNPRC) is affiliated with Tulane University of Louisiana and was dedicated in 1964. The Center is part of Tulane University Health Sciences along with the School of Medicine, the School of Public Health and Tropical Medicine, and the School of Science and Engineering. The TNPRC is one of seven NIH-supported National Primate Research Centers within the National Primate Research Center Program. This application requests funding for the five-year time-period of May 1, 2023-April 30, 2028. Funds will be used to support administration, operations, animal resources, scientific research resources, a pilot research program, alteration and renovations, outreach, and education and training activities of the Center. The animal resources program is fully accredited by AAALAC with exemplary status. Significant infrastructure projects have been completed including renovation of new laboratory space and completion of the PET/CT facility within the RBL. We have completed a large infrastructure upgrade with upgraded boilers and new and increased capacity chillers, new building automation and access controls and energy efficiency lighting upgrades, as well as upgrades in stormwater and wastewater treatment improvements. The period since the last renewal of the TNPRC base grant has been a time of sustained growth and programmatic change. Total funding for the Center has increased to more than $43.8M in FY2021. The TNPRC is the only NPRC to have a Regional Biosafety Laboratory (BSL-3), which has been a key factor in obtaining funds to support numerous studies utilizing select agents, tuberculosis, and emerging infectious diseases, including a new and expanding program in SARS-CoV-2 research. Our efforts in SARS-CoV-2 have provided leadership within the NPRC system with the development of nonhuman primate models, testing therapeutics and vaccines. In addition, we developed a CoVID-19 Coordinating Center and Data Center supported by NIH, which provides coordinated and collaborative interactions with other NPRCs. The development of our strong Quality Assurance and Quality Control Program and new High Containment Research Performance Core have contributed greatly to our success during this funding period. In the next grant period, we will recruit additional faculty and expand our research efforts into chronic and comorbid conditions associated with infections and aging. We will focus on building onto our current successes with the generation of a new strategic plan that will make TNPRC the best primate center we can be and a premiere place to work for our employees."
3/21/2025,Department of Health and Human Services,RAND CORPORATION,1040387,865114.26,https://usaspending.gov/award/ASST_NON_R56AG087032_7529,Social Connectedness Loneliness and Health Among Aging Black Sexual Minority Men
3/23/2025,Department of Health and Human Services,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,11279878,864603,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,TN ST DEPT OF MNTL HLTH and Substance Abuse Services,864280,864280,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/21/2025,Department of Health and Human Services,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2379519,859105.44,https://usaspending.gov/award/ASST_NON_R01MH127014_7529,Dopamine Availability and Developmental Pathways of Adolescent Depression and Anhedonia
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,858625,858625,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,#REF!,3296734,854575.27,,#REF!
3/23/2025,Department of Health and Human Services,River Edge Behavioral Health Center,4473668,852028,,"RIVER EDGE BEHAVIORAL HEALTH CMHC GRANT PROGRAM - RIVER EDGE BEHAVIORAL HEALTH CMHC SERVICE RECOVERY PROJECT - PROJECT ABSTRACT  THE RIVER EDGE BEHAVIORAL HEALTH CMHC SERVICE RECOVERY PROJECT WILL USE GRANT FUNDS TO RESTORE COVID-IMPACTED SERVICES FOR UNINSURED INDIVIDUALS WITH SEVERE EMOTIONAL DISTURBANCE, MENTAL ILLNESS, OR CO-OCCURRING MENTAL ILLNESS AND SUBSTANCE USE DISORDER WHO RESIDE IN THE 7 CENTRAL, RURAL/SUBURBAN GEORGIA COUNTIES.  PROJECT GOALS AND MEASURABLE OBJECTIVES ARE TO: 1.  STRENGTHEN/SUSTAIN HIPAA COMPLIANT AUDIO & AUDIO-VISUAL TELEHEALTH INFRASTRUCTURE BY PURCHASING EQUIPMENT AND SUBSCRIBING TO CLOUD BASED TELEHEALTH SOFTWARE. 2.  EXPAND CLINICAL & SUPPORT CAPACITY TO SERVE 1,500 INDIVIDUALS WITH SED, SMI OR COD IN FINANCIALLY VIABLE WAYS LONG-TERM BY HIRING & TRAINING BUDGETED CLINICAL & SUPPORT POSITIONS. 3.  PROVIDE TRAUMA-INFORMED SCREENING, ASSESSMENT, DIAGNOSIS AND PATIENT-CENTERED TREATMENT PLANNING AND TREATMENT AS WELL AS PEER SPECIALIST TRAINING AND SUPPORT TO ADDRESS POSSIBLE COVID-TRIGGERED MENTAL HEALTH NEEDS RELATED TO TRAUMA, GRIEF, LONELINESS, ISOLATION, ETC. BY HIRING A CLINICAL TRAINER AND TRAINING HIM OR HER IN TRAUMA-RELATED EVIDENCE-BASED PRACTICES SO THAT HE/SHE MAY DELIVER TRAINING TO TEAM MEMBERS. 4.  PROVIDE CLINICAL AND RECOVERY SUPPORT SERVICES LIKE PSYCHOSOCIAL REHABILITATION, CASE MANAGEMENT AND PEER SUPPORTS BY HIRING, TRAINING AND DEPLOYING BUDGETED TEAM MEMBERS. 5.  ADDRESS THE MENTAL HEALTH NEEDS OF TEAM MEMBERS BY CONTRACTING FOR EMPLOYEE ASSISTANCE SERVICES AND MAKING A HEALTHY LIFESTYLE VIRTUAL PLATFORM AVAILABLE TO TEAM MEMBERS. 6.  PROVIDE STAFF TRAINING ON BEHAVIORAL HEALTH DISPARITIES, CULTURAL AND LINGUISTIC COMPETENCE AND STRATEGIES TO ENGAGE AND RETAIN DIVERSE CLIENT POPULATIONS BY HIRING A CLINICAL TRAINER TO UPDATE EXISTING TRAININGS PER AHRQ TOOLKITS, TO A TRAINER IN OTHER EVIDENCE-BASED STRATEGIES, AND TO IMPLEMENT TRAININGS FOR ALL STAFF. 7.  EXPAND CAPACITY TO RESPOND TO CRISES AND EMERGENCIES BY HIRING A CLINICAL TRAINER, TRAINING HIM/HER AS A TRAINER OF THE EVIDENCE-BASED INTERVENTIONS:  MINDSET(TM), QUESTION-PERSUADE-REFER, AND COLUMBIA SUICIDE SEVERITY RATING SCALE SO THAT HE/SHE MAY TRAIN ALL STAFF. 8.  ESTABLISH/RESTORE STRONG REFERRAL PATHWAYS WITH THE REGION'S CRISIS CENTERS/HOTLINES BY UPDATING REFERRAL LISTS, BUILDING RELATIONSHIPS WITH INDIVIDUALS CURRENTLY IN REFERRAL ROLES, CONDUCTING ANNUAL SATISFACTION SURVEYS AND FOLLOW-UP. 9.  DEVELOP/IMPLEMENT ZIP CODE OUTREACH STRATEGIES TO ENGAGE REFERENT NEIGHBORHOOD LEADERS AND BUILD RELATIONSHIPS TO BETTER OUTREACH MINORITY OR ECONOMICALLY DISADVANTAGED POPULATIONS INTO CARE.  THE TWO YEAR PROJECT WILL SERVE 1,500 INDIVIDUALS:  700 IN YEAR 1 AND 800 IN YEAR 2."
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2004149,847662,,Anti-semitism task force
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,4567513,847034,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,WA ST DEPARTMENT OF HEALTH,4088168,846382,,"EPIDEMIOLOGY AND LABORATORY CAPACITY FOR INFECTIOUS DISEASES (ELC) - BUILDING AND STRENGTHENING EPIDEMIOLOGY,LABORATORY AND HEALTH INFORMATION SYSTEMS CAPACITY IN STATE AND LOCAL HEALTH DEPARTMENTS"
3/20/2025,Department of Health and Human Services,BROWN UNIVERSITY,1537394,844173.2,https://usaspending.gov/award/ASST_NON_R01MH131475_7529,Intervention to Enhance PrepPersistence Among African American Men Who Have Sex With Men
3/20/2025,Department of Health and Human Services,UT SOUTHWESTERN MEDICAL CENTER,1299248,841336.57,https://usaspending.gov/award/ASST_NON_R01HD112418_7529,Long-term trajectories of psychosocial functioning among transgender youth and their parents.
3/24/2025,Department of Health and Human Services,DIVISION OF CHILD AND FAMILY SERVICES,866914,839924.29,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,VI DEPARTMENT OF HEALTH,963194,837707,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,6530972,837160,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/21/2025,Department of Health and Human Services,UNIVERSITY OF WASHINGTON,2231025,836540.64,https://usaspending.gov/award/ASST_NON_R01MD017573_7529,Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal Multi-Level Study
3/23/2025,Department of Health and Human Services,NORTHWEST PORTLAND.,2469997,836276,,Tribal Epidemiology Center Consortium to Increase Vaccination Coverage Across American Indian and Alaska Native (AI/AN) Adult Populations Currently Experiencing Disparities(TEC-IAVC)
3/22/2025,Department of Health and Human Services,VANDERBILT UNIVERSITY MEDICAL CENTER,2826653,832534.4,https://usaspending.gov/award/ASST_NON_OT2OD035980_7529,Engaging Diverse Stakeholders in Genomic/Precision Medicine Research: The All of Us Research Program Engagement Core
3/21/2025,Department of Health and Human Services,UNIVERSITY OF MARYLAND BALTIMORE,2407266,826798.1,https://usaspending.gov/award/ASST_NON_UG1HD113162_7529,Resilient HIV Implementation Science with Sexual and Gender Minority Youths using Evidence (RISE) Clinical Research Center
3/21/2025,Department of Health and Human Services,UNIVERSITY OF CENTRAL FLORIDA,1518506,825978.14,https://usaspending.gov/award/ASST_NON_R01MH134051_7529,A Strengths-Based Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth
3/23/2025,Department of Health and Human Services,ARKANSAS DEPARTMENT OF HEALTH,7194830,824842,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,HEALTH & HUMAN SVC COMMN TX,4433226,824833,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2914912,822791,,Anti-semitism task force
4/1/2025,Department of Health and Human Services,UNIVERSITY OF PENNSYLVANIA,2451704,822702.79,,An inoculation theory-based messaging intervention addressing misinformation about HPV vaccine on social media: The Inoculate for HPV Vaccine randomized controlled trial
3/23/2025,Department of Health and Human Services,"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",3556285,820540,,Palau ELC 2019-2023
3/23/2025,Department of Health and Human Services,WEST VIRGINIA STATE HEALTH DEPARTMENT,820338,820338,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/24/2025,Department of Health and Human Services,"Health, New Jersey Department Of",25073006,820050.57,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",3796710,817702,,Nebraska Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/20/2025,Department of Health and Human Services,OHIO STATE UNIVERSITY,815881,815881,https://usaspending.gov/award/ASST_NON_R01MH138335_7529,Bisexual adolescents' and young adults' risk for depression and suicidal ideation: Developmental trajectories risk and protective factors and underlying mechanisms
3/23/2025,Department of Health and Human Services,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,813590,813590,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2405065,813044,,Anti-semitism task force
3/24/2025,Department of Health and Human Services,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,812814,812814,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/22/2025,Department of Health and Human Services,COMPREHENSIVE CANCER CENTER/ UNIV/PR,1000000,812162.36,https://usaspending.gov/award/ASST_NON_OT2OD037880_7529,NATIONAL LATINO NETWORK (NLN) FOR PRECISION MEDICINE AND HEALTH DISPARITIES RESEARCH
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,1530119,810526,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",1400235,808341,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,YALE UNIVERSITY,2282298,807347.6,https://usaspending.gov/award/ASST_NON_R01AA029088_7529,A unified protocol to address sexual minority women's minority stress mental health and hazardous drinking
4/7/2025,Department of Health and Human Services,UNIVERSITY OF MISSISSIPPI MED CTR,948531,807256.7,,Southeast Center for Health Achievement and Growth in Equity (SEACHANGE) Hub
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2712322,806458,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,860881,805480,,"EPIDEMIOLOGY AND LABORATORY CAPACITY FOR INFECTIOUS DISEASES - BUILDING AND STRENGTHENING EPIDEMIOLOGY, LABORATORY, AND HEALTH INFORMATION CAPACITY IN STATE AND LOCAL HEALTH DEPARTMENTS"
3/23/2025,Department of Health and Human Services,AK ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,871632,804975,,"CDC-RFA-IP19-1901 Immunization and Vaccines for Children, IIS Modernization Supplemental Funding"
3/23/2025,Department of Health and Human Services,RPL 140 PDHL SETDJP2P UNTUK 2CWS8XCA,1100000,802600,,"Building and Strengthening Public Health Systems, Impact and Capacity in Indonesia"
3/23/2025,Department of Health and Human Services,#REF!,812946,801234,,#REF!
3/21/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2554402,799772.94,https://usaspending.gov/award/ASST_NON_R01AG077934_7529,Structural Racism and Discrimination in Older Men's Health Inequities
3/23/2025,Department of Health and Human Services,EMORY UNIVERSITY,12203207,795325,,"Project Summary/Abstract The currently NIAID-funded Vaccine and Treatment Evaluation Unit (VTEU) based at Emory University is ideally positioned to implement the mission of the Infectious Diseases Clinical Research Consortium (IDCRC) . The Emory VTEU is supported by Emory's rich scientific milieu with numerous synergistic grants and various thematic research centers covering all IDCRC scientific priority areas. The Emory VTEU infrastructure relies on two clinical research sites with a total of 16,000 square feet of clinical, laboratory, and pharmacy space and 83 faculty members and staff. Over the past decade as a funded VTEU, we have conducted 51 VTEU protocols, served as lead on 25 trials, performed endpoint assays for 17 studies, and published 22 high impact papers. We have enrolled ~3,000 participants, 55% are female and 37% from diverse racial and ethnic backgrounds with a retention rate of ~93%. With its flexible infrastructure, the Emory VTEU demonstrated surge capacity to contribute to pandemic influenza, Zika, Ebola, and biodefense efforts by prioritizing resources in funds and staffing. The Emory VTEU will build on the current surge capacity by strengthening our partnership with the Georgia Clinical and Translational Science Alliance and collaborating with well-established Emory international partners on a protocol-specific basis. Additionally, to date, our VTEU has trained 28 fellows and junior faculty. We will build on our significant record of accomplishment and advance the IDCRC mission by implementing the following specific aims: 1. Engage a broad range of Emory scientists with expertise in established and newly emerging infectious diseases in the core science of the IDCRC including concept generation and protocol development. 2. Leverage our access to a unique and diverse population and state-of-the-art research infrastructure to implement all components of the IDCRC science, including study conduct, data quality control and assurance procedures, data management, and good clinical, laboratory, and pharmacy practices. 3. Optimize our operational flexibility to further enhance our ability to provide surge capacity to address emerging infectious diseases and pandemic response. 4. Expand our mentoring capacity and enhance career development opportunities for early stage investigators in the areas of vaccinology, infectious diseases diagnostics, therapeutics, and prevention."
3/23/2025,Department of Health and Human Services,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",789779,789779,,IMMUNIZATION AND VACCINES FOR CHILDREN
3/20/2025,Department of Health and Human Services,CHILDREN'S RESEARCH INSTITUTE,1523915,789738.98,https://usaspending.gov/award/ASST_NON_R01HD114134_7529,Equitable Measurement of Care Disparities and Needs in Intersex Youth/Youth with Variations in Sex Development
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,16087468,788955,,Ohio Community Health Workers (CHWs) for COVID Response and Resilient Communities (CCR) No Cost Extension Request - 8/31/2024-8/30/2025
3/23/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,1442405,785761,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",2885775,783328,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,DC DEPARTMENT OF HEALTH CARE FINANCE,781053,781053,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,IN ST DEPARTMENT OF MENTAL HEALTH,880193,780473,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2013149,780409,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,UNIVERSITY OF CALIFORNIA,5654777,774779,,CALIFORNIA NATIONAL PRIMATE RESEARCH CENTER
3/20/2025,Department of Health and Human Services,"FRIENDS RESEARCH INSTITUTE, INC.",2415079,774651.4,https://usaspending.gov/award/ASST_NON_R01DA056888_7529,Optimizing PrEP Implementation and Cost-effectiveness among Sexual and Gender Minority Individuals with a Substance Use Disorder
3/24/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,1464876,774068.33,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,SAN ANTONIO METROPOLITAN HEALTH DISTRICT,1499190,773336,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/20/2025,Department of Health and Human Services,YALE UNIVERSITY,3561084,769562.91,https://usaspending.gov/award/ASST_NON_R01MH118245_7529,Biopsychosocial mechanisms underlying internalizing psychopathology in a prospective population-based cohort of sexual minority young adults
3/23/2025,Department of Health and Human Services,ILLINOIS DEPT OF HUMAN SERVICES,63404936,761053,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,1407964,759977,,Anti-semitism task force
3/23/2025,Department of Health and Human Services,IA ST DEPARTMENT OF PUBLIC HEALTH,1433832,759790,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,SEATTLE CHILDREN`S HOSPITAL,2918031,758981,,VIRAL AND IMMUNE KINETICS IN RHINOVIRUS INFECTION FOLLOWING HEMATOPOIETIC CELL TRANSPLANTATION
3/20/2025,Department of Health and Human Services,UNIVERSITY OF CHICAGO,1526676,758813,https://usaspending.gov/award/ASST_NON_R01DA058965_7529,Achieving Equity in Patient Outcome Reporting for Timely Assessments of Life with HIV and Substance Use (ePORTAL HIV-S)
3/23/2025,Department of Health and Human Services,HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,11950397,757986,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,#REF!,757577,757577,,#REF!
